country,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Sweden,,,,,,3.24,,,,,3.31,,,,,3.41,,,,,,,,,,,,5.85,,,,,5.53,,,,,5.04,,,,,4.07,,,3.64,,,,,,
Eswatini,,,,,,,,,,,,,,,,95.9,,,,,,,,,,,,,,,,,,,,96.5,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,7.56,,,,,,,,,,,,,,,,6.57,,,,,,,,,,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,88.1,,,87.5,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,81.8,,,,,,,,,,,,,,,79.2,,,76.4,,,,,,,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,25.3,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.4,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.3,,,,,,91.6,,,,,,90.9,,,,,,,,,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.9,,,,,,96.5,,,,94.3,,,,,,,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.4,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25,,,5.41,,,,,4.35,,,,,,4.36,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,88.7,,,,,85.6,,,,,,76,,,,,,,,,,80,,,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.5,,,,,,,,75,,,73.8,,,,,80.9,,,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.3,,,,,,,,,,,,,,
Uganda,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8,,,,,,40.7,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,,,,,,,,30,,,,,30,,,,,30,,,,,,
Uruguay,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.6,,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,22.6,,,,,,,,,,34.8,,,,,,,,,,35.1,,,,,34.1,,,,,36.1,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.7,,,,,,,90.4,,,,90,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
Venezuela,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8,,,,,,,73.8,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,92.5,,,,,89.8,,,,,,,,,,,,,,,,,,,,94.8,,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,92.1,,,,,,,,,,90,,,,,90.7,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,67.5,,,,,61.3,,,,,,,,,,,,,62.5,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.7,,77.3,,,,,,,,73.3,,,,,,,,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,78.9,,,,,82.1,,,,,,,,,
