country,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.3,,,,76.2,,,,,,,,,,,,,91.2,94.7,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.3,,,,,62.7,64.3,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.92,,,,,,,,,,20.2,,,,,,,,10.2,,,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,100,,,,,100,,,,,100,,100,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,,,,,,,,,,,,,,,13.7,,,,,,,,
Madagascar,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1.79,,,,,,2.91,,,,,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,97.1,,,,,,,,,,,,,,,,,,,,,94.9,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,,,,,14.1,,,,,14.5,,,14.6
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,,,,,,33.5,,,,,41.1,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,1.99,,,,,,,,,,,,,,,,,,,2.06,,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.5,,,,,,,63.9,,,,,61.8,,,,,37.1,33.8,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,0.981,,,,,,,,,,,,,10,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.9,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,,,,,,,,,,,,,18.1,,,12.9,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,8.76,,,,,,,,,,,19.2,,,,,,,,,,,,,,25.3
Mauritania,,,,,,,,,,,,,,,,12.1,,,,,,,,,,,,,,,,,,,,4.74,,,,,7.07,,,,,,,,,,
Mauritius,,,,,,,,,,,16.2,,,,,,,,,,,,,,,,,,,,17.6,,,,,,,,29.5,,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,,,,,,,9.03,,,10.6,,,,,,,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,8.08,,,,,,24.4,,,,32.8,,,,,34.8,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,,,,26,,,,,,,25.4,,,,,,,,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,29.9,,,,,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,20.1,,,,,,,,,,,,,31.4,,,,,35.4,,,,,40.1,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,18.5,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,19.5,,,,,,14.6,,,,,11.4,,,,,11.3,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,,,,,,33.7,,,,,31.3,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,,,,,,1.55,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,19.8,,,,,,23.4,,,,15.6,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,4.58,,,,,,,,,7.35,,,10.1,,,,,,,,,,,,
Pakistan,,,,,,,,,,,1,,,,,,,,,,,,,,,,1.61,,,,,,,,,3.7,,,,,,,,5.26,,,,,,,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.18,,,,,,,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.41,,,7.64,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.9,,,,,57,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,,,,,17.9,,,,,,,,,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,,,,,,,,18.3,,,,,21.7,,,,,22.6,,,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,4.65,,,,,,,7.83,,,,,,,,,10.7,,,,,,,,
