country,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Mali,,,,,,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,0.0771,,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.929,,,,,1.79,,,,,2.51,2.21,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1,,,,,,,,,,,,,40.4,,,43.2,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,,,,,,,,,,,2.75,,,,,,,,,,,,,,1.7
Mauritania,,,,,,,,,,,,,,,,3.97,,,,,,,,,,,,,,,,,,,,1.58,,,,,2.36,,,,,,,,,,
Mauritius,,,,,,,,,,,6.89,,,,,,,,,,,,,,,,,,,,7.64,,,,,,,,2.76,,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.42,,,,,,,,3.01,,,3.52,,,,,,,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,9.87,,,,,,29.9,,,,40.3,,,,,42.8,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21,,,,3.85,,,,,,,4.86,,,,,,,,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,3.33,,,,,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,9.75,,,,,,,,,,,,,15.1,,,,,17,,,,,15.8,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,,,,,,,,,,4.76,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,81.7,,,,,77,,,,,,84.8,,,,,87.9,,,,,88.1,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6,,,,,,32.6,,,,,40.8,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.422,,,,,,0.311,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,6.37,,,,,,19.1,,,,22.8,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,,,,,,,,,2.21,,,1.44,,,,,,,,,,,,
Pakistan,,,,,,,,,,,1,,,,,,,,,,,,,,,,1.61,,,,,,,,,2.01,,,,,,,,0.763,,,,,,,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.964,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,,,,,,,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45,,,10.1,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7,,,,,42.7,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6,,,,,73.6,,,,,,,,,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,81.6,,,,,,,,,,78.4,,,,,76.5,,,,,75.8,,,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,13.4,,,,,,,,,,,,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,8.16,,,,,,,,,,,,6.38,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.23,,,,6.94,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95,,,,,,4.73,,,,,1.8,,,,,,,,,,
Romania,,,,,,49.2,,,,,46.2,,,,,52.2,,,,,45.6,,,,,44.4,,,,,,,59.6,,,,,66.9,,,,,,,,,,66.9,67,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.6,,,,,,,59.8,,,,,,,,,,,,,,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,,,,,,,,,,,,,,3,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279,,,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,3.02,,,,,,,,,,,,,,,2.61,,,,,,,,,,,,,
Singapore,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,4.05,,,,,,,,,,,,,25.3,,,,,26.1,,,,,,,,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,,,,,,,,17.2,,,,,10.1,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,0.0606,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,4.78,,,,,,,,,,,,,2.98,,,,,,22,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.1,,,,,56.9,,,,,44.6,,,,,49.4,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.5,,,,,81.6,,,,,82.3,85.5,,
Sweden,,,,,,72.7,,,,,71.6,,,,,72.1,,,,,,,,,,,,60,,,,,55.7,,,,,56.2,,,,,57.9,,,58.5,,,,,
Eswatini,,,,,,,,,,,,,,,,2.44,,,,,,,,,,,,,,,,,,,,1.15,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,9.24,,,,,,,,,,,,,,,,27.7,,,,,,,,,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,3.48,,,3.67,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,2.21,,,,,,,,,,,,,,,10.4,,,11.8,,,,,,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,13.2,,,,,,,,,,,,,,,2.37,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.22,,,,,,4.68,,,,,,3.55,,,,,,,,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.585,,,,,,1.08,,,,3,,,,,,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6,,,31.5,,,,,33.6,,,,,,33.6,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,3.43,,,,,,3.86,,,,,,,,,,4.99,,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,,,,,,,,9.76,,,10.7,,,,,,,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.482,,,,,,,,,,,,,
Uganda,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,,,,,,7.85,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.9,,,,,,,,51.9,,,,,48,,,,,48,,,,,
Uruguay,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,54.3,,,,,,,,,,53.4,,,,,54.3,,,,,51.1,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,,,3.88,,,,2.68,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0235,,
Venezuela,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.54,,,,,,,3.51,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,3.96,,,,,6.34,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,,,,,,,,,,2,,,,,1.82,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,,,,,8.54,,,,,8.22,,,,,,,,,,,,,10.5,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.13,,6.92,,,,,,,,8.27,,,,,,,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,6.97,,,,,,,,,,,,,,,7.09,,,,,6.02,,,,,,,,
